LEI_Code,Name
529900IZ8TASAYR3A694,Sberbank Europe AG
529900S9YO2JHTIIDG38,BAWAG Group AG
529900XSTAE561178282,Raiffeisenbankengruppe OÖ Verbund eGen
9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG
AT0000000000043000VB,Volksbanken Verbund
PQOH26KWDF7CG10L6792,Erste Group Bank AG
213800X3Q9LSAKRUWY91,KBC Groep
5493008QOCP58OLEN998,Investeringsmaatschappij Argenta
A5GWLFH3KM7YV2SFQL84,Belfius Bank
D3K6HXMBBB6SK9OXH394,Dexia
LSGM84136ACA92XCN876,AXA Bank Belgium
MMYX0N4ZEZ13Z4XCG897,The Bank of New York Mellon
549300UY81ESCZJ0GR95,First Investment Bank
253400EBCBBVB9TUHN50,RCB Bank Ltd
635400L14KNHZXPUZM19,Bank of Cyprus Holdings Public Limited Company
CXUHEGU3MADZ2CEV7C11,Hellenic Bank Public Company Ltd
0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale
391200EEGLNXBBCVKC73,Erwerbsgesellschaft der S-Finanzgruppe mbH & Co. KG
5299007S3UH5RKUYDA52,Deutsche Apotheker- und Ärztebank EG
529900GJD3OQLRZCKW37,Volkswagen Bank Gesellschaft mit beschränkter Haftung
529900GM944JT8YIRL63,Münchener Hypothekenbank EG
529900HNOAA1KXQJUQ27,"DZ BANK AG Deutsche Zentral-Genossenschaftsbank, Frankfurt am Main"
529900JZTYE3W7WQH904,HASPA Finanzholding
529900V3O1M5IHMOSF46,State Street Europe Holdings Germany S.a.r.l. & Co. KG
7LTWFZYICNSX8D621K86,Deutsche Bank AG
851WYGNLUQLFZBSYGB56,COMMERZBANK Aktiengesellschaft
B81CK4ESI35472RHJ606,Landesbank Baden-Württemberg
DIZES5CFO5K3I5R58746,Landesbank Hessen-Thüringen Girozentrale
DSNHHQ2B9X5N6OUJ1236,Norddeutsche Landesbank -Girozentrale-
DZZ47B9A52ZJ6LT6VV95,Deutsche Pfandbriefbank AG
EZKODONU5TYHW4PP1R34,Aareal Bank AG
TUKDD90GPC79G1KOE162,Hamburg Commercial Bank AG
VDYMYTQGZZ6DU0912C88,Bayerische Landesbank
3M5E1GQGKL17HI6CPN30,Jyske Bank A/S
GP5DT10VX1QRQUKVBK64,Sydbank A/S
LIU16F6VZJSD6UKHD557,Nykredit Realkredit A/S
MAES062Z21O4RZ2U7M96,Danske Bank A/S
529900JG015JC10LED24,AS LHV Group
213800RZWHE5EUX9R444,Luminor Holding AS
95980020140005881190,"Banco de Crédito Social Cooperativo, S.A."
5493006QMFDDMYWIAM13,"Banco Santander, S.A."
5493007SJLLCTM6J6M37,"Unicaja Banco, S.A."
549300GT0XFTFHGOIS94,"BFA Tenedora de Acciones, S.A.U."
549300OLBL49CW8CT155,"Ibercaja Banco, S.A."
549300U4LIZV0REEQQ46,"Kutxabank, S.A."
635400XT3V7WHLSFYY25,"Liberbank, S.A."
7CUNS533WID6K7DGFI87,"CaixaBank, S.A."
54930056IRBXK0Q1FP96,Abanca Corporación Bancaria S.A.
K8MS7FD7N5Z2WQ51AZ71,"Banco Bilbao Vizcaya Argentaria, S.A."
SI5RG2M0WQQLZCXKRM20,"Banco de Sabadell, S.A."
VWMYAEQSTOPNV0SUGU82,"Bankinter, S.A."
529900HEKOENJHPNN480,Kuntarahoitus Oyj
529900ODI3047E2LIV03,Nordea Bank Abp
7437003B5WFBOIEFY714,OP Osuuskunta
7437005892K69S3MW344,Säästöpankkiliitto osk
549300HFEHJOXGE4ZE63,SFIL
96950001WI712W7PQG45,RCI Banque
9695000CG7B84NLR5984,Confédération Nationale du Crédit Mutuel
96950066U5XAAIRCPA78,La Banque Postale
969500TVVZM86W7W5I94,C.R.H. - Caisse de refinancement de l'habitat
FR9695005MSX1OYEMGDF,Groupe BPCE
FR969500TJ5KRTCJQWXH,Groupe Crédit Agricole
O2RNE8IBXP4R0TD8PU41,Société générale
R0MUWSFPU8MPRO8K5P83,BNP Paribas
R1IO4YJ0O79SMWVCHB58,Banque centrale de compensation
5299009N55YRQC69CN08,"Alpha Bank, S.A."
5UMCZOEYKCVFAW8ZLO05,"National Bank of Greece, S.A."
JEUVK5RWVJEN8W0C9M24,"Eurobank Ergasias, S.A."
M6AD1Y1KW32H8THQ6F76,"Piraeus Bank, S.A."
529900W3MOO00A18X956,OTP Bank Nyrt.
549300K7L8YW8M215U46,Citibank Holdings Ireland Limited
635400AKJBGNS5WNQL34,AIB Group plc
635400C8EK6DRI12LJ39,Bank of Ireland Group plc
549300PZMFIQR79Q0T97,Íslandsbanki hf.
549300TLZPT6JELDWM92,Landsbankinn hf.
RIL4VBPDB0M7Z3KXSF19,Arion banki hf
2W8N8UU78PMDQKZENC08,Intesa Sanpaolo S.p.A.
549300TRUWO2CD2G5692,UniCredit S.p.A.
81560097964CBDAED282,Unione di Banche Italiane S.p.A. 
815600AD83B2B6317788,Credito Emiliano Holding S.p.A.
815600E4E6DCD2D25E30,Banco BPM S.p.A.
J48C8PCSJVUBR8KCW529,"Banca Popolare di Sondrio, Società Cooperativa per Azioni"
J4CP7MHCXR8DAQMKIL78,Banca Monte dei Paschi di Siena S.p.A.
LOO0AWXR8GF142JCO404,Cassa Centrale Banca - Credito Cooperativo Italiano SpA
N747OI7JINV7RUUH6190,BPER Banca S.p.A.
NNVPP80YIZGEY2314M97,ICCREA Banca S.p.A. – Istituto Centrale del Credito Cooperativo
PSNL19R2RXX5U3QWHI44,Mediobanca – Banca di Credito Finanziario S.p.A.
549300TK038P6EV4YU51,Akcine bendrove Šiauliu bankas
549300AUUQG072ATL746,Precision Capital S.A.
549300IVXKQHV6O7PY61,RBC Investor Services Bank S.A.
7W1GMC6J4KGLBBUSYP52,J.P. Morgan Bank Luxembourg S.A.
9CZ7TVMR36CYD5TZBS50,Banque Internationale à Luxembourg
R7CQUF1DQM73HUTV1078,"Banque et Caisse d’Epargne de l’Etat, Luxembourg"
2138009Y59EAR7H1UO97,"Akciju sabiedriba ""Citadele banka"""
213800EUDXECGWMKKR98,Commbank Europe Ltd
213800TC9PZRBHMJW403,MDB Group Limited
529900RWC8ZYB066JF16,Bank of Valletta Plc
529900GGYMNGRQTDOO93,BNG Bank N.V.
549300NYKK9MWM7GGW15,ING Groep N.V.
724500A1FNICHSDF2I11,de Volksbank N.V.
BFXS5XCH7N0Y05NIXW11,ABN AMRO Bank N.V.
DG3RU1DBUFHT4ZF9WN62,Coöperatieve Rabobank U.A.
JLP5FSPH9WPSHY3NIM24,Nederlandse Waterschapsbank N.V.
549300GKFG0RYRRQ1414,DNB BANK ASA
549300Q3OIWRHQUQM052,SPAREBANK 1 SR-BANK ASA
7V6Z97IO7R1SEAO84Q32,SPAREBANK 1 SMN
5493000LKS7B3UTF7H35,Bank Polska Kasa Opieki SA
P4GTT6GF1W40CVIMFR43,Powszechna Kasa Oszczednosci Bank Polski SA
2138004FIUXU3B2MR537,"Caixa Económica Montepio Geral, Caixa Económica Bancária, S.A."
222100K6QL2V4MLHWQ08,LSF Nani Investments S.à r.l.
529900H2MBEC07BLTB26,"Caixa Central - Caixa Central de Crédito Agrícola Mútuo, CRL"
JU1U6S0DG9YLT7N8ZV32,"Banco Comercial Português, SA"
TO822O0VT80V06K0FH57,"Caixa Geral de Depósitos, SA"
549300RG3H390KEL8896,Banca Transilvania
549300C6TUMDXNOVXS82,Länsförsäkringar Bank AB - group
EV2XZWMLLXF2QRX0CD47,Kommuninvest - group
F3JS33DEI6XQ4ZBPTN86,Skandinaviska Enskilda Banken - group
H0YX5LBGKDVOWCXBZ594,SBAB Bank AB - group
M312WZV08Y7LYUC71685,Swedbank - group
NHBDILHZTYCNBV5UYZ31,Svenska Handelsbanken - group
