id,Data,Country,Type,Frequency,Currency,Units,Date,Value
106986,Volume,DE,Sovereign,Annual,EUR,Billions,2007-01-01,26.216
106987,Volume,DE,Sovereign,Annual,EUR,Billions,2008-01-01,24.572
106988,Volume,DE,Sovereign,Annual,EUR,Billions,2009-01-01,19.048
106989,Volume,DE,Sovereign,Annual,EUR,Billions,2010-01-01,23.452
106990,Volume,DE,Sovereign,Annual,EUR,Billions,2011-01-01,24.736
106991,Volume,DE,Sovereign,Annual,EUR,Billions,2012-01-01,22.004
106992,Volume,DE,Sovereign,Annual,EUR,Billions,2013-01-01,23.328
106993,Volume,DE,Sovereign,Annual,EUR,Billions,2014-01-01,19.476
106994,Volume,DE,Sovereign,Annual,EUR,Billions,2015-01-01,18.86
106995,Volume,DE,Sovereign,Annual,EUR,Billions,2016-01-01,17.176
106996,Volume,FR,Sovereign,Monthly,EUR,Billions,2016-01-01,9.5
106997,Volume,FR,Sovereign,Monthly,EUR,Billions,2016-02-01,10
106998,Volume,FR,Sovereign,Monthly,EUR,Billions,2016-03-01,10
106999,Volume,FR,Sovereign,Monthly,EUR,Billions,2016-04-01,10.25
107000,Volume,FR,Sovereign,Monthly,EUR,Billions,2016-05-01,7.5
107001,Volume,FR,Sovereign,Monthly,EUR,Billions,2016-06-01,10.5
107002,Volume,FR,Sovereign,Monthly,EUR,Billions,2016-07-01,8
107003,Volume,FR,Sovereign,Monthly,EUR,Billions,2016-08-01,6
107004,Volume,FR,Sovereign,Monthly,EUR,Billions,2016-09-01,10.25
107005,Volume,FR,Sovereign,Monthly,EUR,Billions,2016-10-01,9.5
107006,Volume,FR,Sovereign,Monthly,EUR,Billions,2016-11-01,14
107007,Volume,FR,Sovereign,Monthly,EUR,Billions,2016-12-01,8.5
107008,Volume,FR,Sovereign,Monthly,EUR,Billions,2017-01-01,14.25
107009,Volume,FR,Sovereign,Monthly,EUR,Billions,2017-02-01,18.75
107010,Volume,FR,Sovereign,Monthly,EUR,Billions,2017-03-01,17
107011,Volume,FR,Sovereign,Monthly,EUR,Billions,2017-04-01,16
107012,Volume,FR,Sovereign,Monthly,EUR,Billions,2017-05-01,14
