Effective date ,S&P U.S. Government Bond Index
11/30/2017,100
12/1/2017,100.27
12/4/2017,100.23
12/5/2017,100.3
12/6/2017,100.42
12/7/2017,100.29
12/8/2017,100.26
12/11/2017,100.2
12/12/2017,100.17
12/13/2017,100.43
12/14/2017,100.44
12/15/2017,100.45
12/18/2017,100.29
12/19/2017,100
12/20/2017,99.78
12/21/2017,99.86
12/22/2017,99.87
12/26/2017,99.94
12/27/2017,100.23
12/28/2017,100.18
12/29/2017,100.27
1/2/2018,100.03
1/3/2018,100.1
1/4/2018,100.05
1/5/2018,99.97
1/8/2018,99.96
1/9/2018,99.67
1/10/2018,99.67
1/11/2018,99.73
1/12/2018,99.71
1/16/2018,99.78
1/17/2018,99.68
1/18/2018,99.48
1/19/2018,99.33
1/22/2018,99.34
1/23/2018,99.5
1/24/2018,99.37
1/25/2018,99.53
1/26/2018,99.34
1/29/2018,99.23
1/30/2018,99.1
1/31/2018,99.14
2/1/2018,98.82
2/2/2018,98.65
2/5/2018,99.09
2/6/2018,98.83
2/7/2018,98.61
2/8/2018,98.67
2/9/2018,98.58
2/12/2018,98.6
2/13/2018,98.69
2/14/2018,98.32
2/15/2018,98.36
2/16/2018,98.49
2/20/2018,98.41
2/21/2018,98.16
2/22/2018,98.27
2/23/2018,98.48
2/26/2018,98.53
2/27/2018,98.4
2/28/2018,98.54
3/1/2018,98.8
3/2/2018,98.56
3/5/2018,98.52
3/6/2018,98.52
3/7/2018,98.51
3/8/2018,98.63
3/9/2018,98.49
3/12/2018,98.64
3/13/2018,98.76
3/14/2018,98.91
3/15/2018,98.89
3/16/2018,98.78
3/19/2018,98.74
3/20/2018,98.6
3/21/2018,98.67
3/22/2018,98.92
3/23/2018,98.96
3/26/2018,98.83
3/27/2018,99.14
3/28/2018,99.15
3/29/2018,99.29
4/2/2018,99.36
4/3/2018,99.14
4/4/2018,99.1
4/5/2018,98.93
4/6/2018,99.23
4/9/2018,99.25
4/10/2018,99.16
4/11/2018,99.23
4/12/2018,99
4/13/2018,99.04
4/16/2018,99.02
4/17/2018,99.07
4/18/2018,98.83
4/19/2018,98.67
4/20/2018,98.47
4/23/2018,98.44
4/24/2018,98.37
4/25/2018,98.25
4/26/2018,98.41
4/27/2018,98.54
4/30/2018,98.61
5/1/2018,98.5
5/2/2018,98.52
5/3/2018,98.64
5/4/2018,98.66
5/7/2018,98.65
5/8/2018,98.58
5/9/2018,98.44
5/10/2018,98.58
5/11/2018,98.6
5/14/2018,98.5
5/15/2018,98.2
5/16/2018,98.09
5/17/2018,98.03
5/18/2018,98.27
5/21/2018,98.29
5/22/2018,98.27
5/23/2018,98.52
5/24/2018,98.7
5/25/2018,98.92
5/29/2018,99.64
5/30/2018,99.36
5/31/2018,99.31
6/1/2018,99.1
6/4/2018,98.89
6/5/2018,99.03
6/6/2018,98.79
6/7/2018,99.05
6/8/2018,98.97
6/11/2018,98.91
6/12/2018,98.89
6/13/2018,98.82
6/14/2018,99
6/15/2018,99.04
6/18/2018,99.07
6/19/2018,99.23
6/20/2018,99.02
6/21/2018,99.18
6/22/2018,99.19
6/25/2018,99.28
6/26/2018,99.32
6/27/2018,99.57
6/28/2018,99.53
6/29/2018,99.47
7/2/2018,99.42
7/3/2018,99.59
7/5/2018,99.59
7/6/2018,99.68
7/9/2018,99.53
7/10/2018,99.5
7/11/2018,99.61
7/12/2018,99.58
7/13/2018,99.69
7/16/2018,99.59
7/17/2018,99.53
7/18/2018,99.46
7/19/2018,99.64
7/20/2018,99.41
7/23/2018,99.11
7/24/2018,99.17
7/25/2018,99.11
7/26/2018,99.04
7/27/2018,99.11
7/30/2018,99.07
7/31/2018,99.17
8/1/2018,99
8/2/2018,99.07
8/3/2018,99.22
8/6/2018,99.26
8/7/2018,99.12
8/8/2018,99.16
8/9/2018,99.36
8/10/2018,99.61
8/13/2018,99.6
8/14/2018,99.52
8/15/2018,99.69
8/16/2018,99.66
8/17/2018,99.7
8/20/2018,99.91
8/21/2018,99.81
8/22/2018,99.94
8/23/2018,99.93
8/24/2018,99.96
8/27/2018,99.82
8/28/2018,99.67
8/29/2018,99.67
8/30/2018,99.77
8/31/2018,99.77
9/4/2018,99.64
9/5/2018,99.62
9/6/2018,99.72
9/7/2018,99.44
9/10/2018,99.5
9/11/2018,99.3
9/12/2018,99.35
9/13/2018,99.35
9/14/2018,99.22
9/17/2018,99.26
9/18/2018,99
9/19/2018,98.89
9/20/2018,98.95
9/21/2018,98.97
9/24/2018,98.92
9/25/2018,98.88
9/26/2018,99.07
9/27/2018,99.07
9/28/2018,99.07
10/1/2018,98.92
10/2/2018,99.09
10/3/2018,98.64
10/4/2018,98.48
10/5/2018,98.31
10/9/2018,98.47
10/10/2018,98.49
10/11/2018,98.74
10/12/2018,98.66
10/15/2018,98.69
10/16/2018,98.7
10/17/2018,98.54
10/18/2018,98.61
10/19/2018,98.53
10/22/2018,98.53
10/23/2018,98.67
10/24/2018,98.96
10/25/2018,98.82
10/26/2018,99.06
10/29/2018,99.04
10/30/2018,98.9
10/31/2018,98.75
11/1/2018,98.82
11/2/2018,98.48
11/5/2018,98.56
11/6/2018,98.5
11/7/2018,98.49
11/8/2018,98.43
11/9/2018,98.67
11/13/2018,98.9
11/14/2018,99.01
11/15/2018,99.03
11/16/2018,99.22
11/19/2018,99.35
11/20/2018,99.33
11/21/2018,99.3
11/23/2018,99.37
11/26/2018,99.29
11/27/2018,99.33
11/28/2018,99.3
11/29/2018,99.42
11/30/2018,99.52
12/3/2018,99.64
12/4/2018,99.98
12/6/2018,100.14
12/7/2018,100.29
12/10/2018,100.36
12/11/2018,100.27
12/12/2018,100.14
12/13/2018,100.15
12/14/2018,100.27
12/17/2018,100.47
12/18/2018,100.65
12/19/2018,100.9
12/20/2018,100.81
12/21/2018,100.86
12/24/2018,101.13
12/26/2018,100.77
12/27/2018,100.89
12/28/2018,101.2
12/31/2018,101.35
1/2/2019,101.52
1/3/2019,102
1/4/2019,101.52
1/7/2019,101.38
1/8/2019,101.24
1/9/2019,101.26
1/10/2019,101.17
1/11/2019,101.32
1/14/2019,101.29
1/15/2019,101.22
1/16/2019,101.21
1/17/2019,101.14
1/18/2019,100.96
1/22/2019,101.17
1/23/2019,101.16
1/24/2019,101.35
1/25/2019,101.2
1/28/2019,101.22
1/29/2019,101.39
1/30/2019,101.5
1/31/2019,101.77
2/1/2019,101.51
2/4/2019,101.39
2/5/2019,101.51
2/6/2019,101.56
2/7/2019,101.75
2/8/2019,101.87
2/11/2019,101.77
2/12/2019,101.69
2/13/2019,101.55
2/14/2019,101.77
2/15/2019,101.76
2/19/2019,101.89
2/20/2019,101.85
2/21/2019,101.62
2/22/2019,101.81
2/25/2019,101.75
2/26/2019,101.91
2/27/2019,101.67
2/28/2019,101.54
3/1/2019,101.29
3/4/2019,101.51
3/5/2019,101.55
3/6/2019,101.7
3/7/2019,101.92
3/8/2019,102.02
3/11/2019,101.96
3/12/2019,102.15
3/13/2019,102.12
3/14/2019,102
3/15/2019,102.17
3/18/2019,102.14
3/19/2019,102.09
3/20/2019,102.49
3/21/2019,102.48
3/22/2019,103
3/25/2019,103.15
3/26/2019,103.12
3/27/2019,103.36
3/28/2019,103.38
3/29/2019,103.31
4/1/2019,102.88
4/2/2019,102.98
4/3/2019,102.76
4/4/2019,102.83
4/5/2019,102.85
4/8/2019,102.78
4/9/2019,102.88
4/10/2019,102.99
4/11/2019,102.82
4/12/2019,102.56
4/15/2019,102.66
4/16/2019,102.48
4/17/2019,102.49
4/18/2019,102.67
4/22/2019,102.56
4/23/2019,102.67
4/24/2019,102.92
4/25/2019,102.86
4/26/2019,103.02
4/29/2019,102.9
4/30/2019,103.05
5/1/2019,103.06
5/2/2019,102.87
5/3/2019,102.96
5/6/2019,103.12
5/7/2019,103.34
5/8/2019,103.21
5/9/2019,103.37
5/10/2019,103.32
5/13/2019,103.68
5/14/2019,103.6
5/15/2019,103.81
5/16/2019,103.69
5/17/2019,103.74
5/20/2019,103.65
5/21/2019,103.56
5/22/2019,103.75
5/23/2019,104.15
5/24/2019,104.14
5/28/2019,104.41
5/29/2019,104.45
5/30/2019,104.7
5/31/2019,105.19
6/3/2019,105.53
6/4/2019,105.24
6/5/2019,105.21
6/6/2019,105.19
6/7/2019,105.47
6/10/2019,105.17
6/11/2019,105.16
6/12/2019,105.29
6/13/2019,105.45
6/14/2019,105.49
6/17/2019,105.5
6/18/2019,105.62
6/19/2019,105.84
6/20/2019,105.93
6/21/2019,105.65
6/24/2019,105.91
6/25/2019,106.02
6/26/2019,105.75
6/27/2019,105.94
6/28/2019,105.97
7/1/2019,105.88
7/2/2019,106.1
7/3/2019,106.24
7/5/2019,105.77
7/8/2019,105.75
7/9/2019,105.7
7/10/2019,105.75
7/11/2019,105.39
7/12/2019,105.45
7/15/2019,105.62
7/16/2019,105.48
7/17/2019,105.82
7/18/2019,105.95
7/19/2019,105.82
7/22/2019,105.87
7/23/2019,105.74
7/24/2019,105.84
7/25/2019,105.68
7/26/2019,105.71
7/29/2019,105.77
7/30/2019,105.82
7/31/2019,105.97
8/1/2019,106.72
8/2/2019,106.91
8/5/2019,107.56
8/6/2019,107.73
8/7/2019,107.75
8/8/2019,107.76
8/9/2019,107.65
8/12/2019,108.23
8/13/2019,107.97
8/14/2019,108.57
8/15/2019,109.04
8/16/2019,108.85
8/19/2019,108.44
8/20/2019,108.77
8/21/2019,108.53
8/22/2019,108.33
8/23/2019,108.87
8/26/2019,108.76
8/27/2019,109.15
8/28/2019,109.2
8/29/2019,109.05
8/30/2019,109.08
9/3/2019,109.22
9/4/2019,109.35
9/5/2019,108.71
9/6/2019,108.85
9/9/2019,108.36
9/10/2019,107.79
9/11/2019,107.73
9/12/2019,107.52
9/13/2019,106.85
9/16/2019,107.22
9/17/2019,107.41
9/18/2019,107.47
9/19/2019,107.52
9/20/2019,107.92
9/23/2019,108.01
9/24/2019,108.4
9/25/2019,107.9
9/26/2019,108.08
9/27/2019,108.2
9/30/2019,108.29
10/1/2019,108.51
10/2/2019,108.71
10/3/2019,109.11
10/4/2019,109.27
10/7/2019,109
10/8/2019,109.14
10/9/2019,108.94
10/10/2019,108.45
10/11/2019,108.01
10/15/2019,107.87
10/16/2019,107.98
10/17/2019,107.93
10/18/2019,107.98
10/21/2019,107.73
10/22/2019,107.89
10/23/2019,107.92
10/24/2019,107.88
10/25/2019,107.71
10/28/2019,107.48
10/29/2019,107.51
10/30/2019,107.89
10/31/2019,108.37
11/1/2019,108.23
11/4/2019,107.88
11/5/2019,107.52
11/6/2019,107.72
11/7/2019,107.14
11/8/2019,107.04
11/12/2019,107.2
11/13/2019,107.41
11/14/2019,107.75
11/15/2019,107.67
11/18/2019,107.79
11/19/2019,107.95
11/20/2019,108.24
11/21/2019,108.06
11/22/2019,108.05
11/25/2019,108.13
11/26/2019,108.29
11/27/2019,108.13
11/29/2019,108.12
12/2/2019,107.83
12/3/2019,108.47
12/4/2019,108.16
12/5/2019,108.02
12/6/2019,107.81
12/9/2019,107.88
12/10/2019,107.82
12/11/2019,108.08
12/12/2019,107.56
12/13/2019,107.96
12/16/2019,107.68
12/17/2019,107.67
12/18/2019,107.48
12/19/2019,107.53
12/20/2019,107.54
12/23/2019,107.48
12/24/2019,107.63
12/26/2019,107.68
12/27/2019,107.8
12/30/2019,107.77
12/31/2019,107.56
1/2/2020,107.83
1/3/2020,108.28
1/6/2020,108.17
1/7/2020,108.06
1/8/2020,107.87
1/9/2020,107.93
1/10/2020,108.13
1/13/2020,108.05
1/14/2020,108.21
1/15/2020,108.39
1/16/2020,108.28
1/17/2020,108.13
1/21/2020,108.47
1/22/2020,108.54
1/23/2020,108.73
1/24/2020,108.98
1/27/2020,109.48
1/28/2020,109.23
1/29/2020,109.57
1/30/2020,109.61
1/31/2020,109.97
2/3/2020,109.92
2/4/2020,109.47
2/5/2020,109.15
2/6/2020,109.24
2/7/2020,109.6
2/10/2020,109.75
2/11/2020,109.57
2/12/2020,109.4
2/13/2020,109.48
2/14/2020,109.61
2/18/2020,109.83
2/19/2020,109.81
2/20/2020,110.06
2/21/2020,110.36
2/24/2020,110.96
2/25/2020,111.2
2/26/2020,111.11
2/27/2020,111.52
2/28/2020,112.44
3/2/2020,112.23
3/3/2020,113.1
3/4/2020,112.89
3/5/2020,113.62
3/6/2020,114.84
3/9/2020,115.69
3/10/2020,114.1
3/11/2020,113.76
3/12/2020,113.46
3/13/2020,112.74
3/16/2020,114.47
3/17/2020,112.58
3/18/2020,111.42
3/19/2020,111.57
3/20/2020,113.53
3/23/2020,114.76
3/24/2020,114.36
3/25/2020,114.32
3/26/2020,114.59
3/27/2020,115.37
3/30/2020,115.25
3/31/2020,115.21
4/1/2020,115.57
4/2/2020,115.69
4/3/2020,115.76
4/6/2020,115.51
4/7/2020,115.33
4/8/2020,115.13
4/9/2020,115.28
4/13/2020,115.07
4/14/2020,115.16
4/15/2020,115.91
4/16/2020,116.15
4/17/2020,115.79
4/20/2020,116.04
4/21/2020,116.36
4/22/2020,116.06
4/23/2020,116.19
4/24/2020,116.25
4/27/2020,115.75
4/28/2020,116.11
4/29/2020,116.02
4/30/2020,115.77
5/1/2020,115.92
5/4/2020,115.87
5/5/2020,115.73
5/6/2020,115.36
5/7/2020,115.9
5/8/2020,115.56
5/11/2020,115.32
5/12/2020,115.6
5/13/2020,115.79
5/14/2020,116.02
5/15/2020,115.95
5/18/2020,115.35
5/19/2020,115.52
5/20/2020,115.57
5/21/2020,115.64
5/22/2020,115.74
5/26/2020,115.49
5/27/2020,115.46
5/28/2020,115.38
5/29/2020,115.6
6/1/2020,115.48
6/2/2020,115.36
6/3/2020,114.93
6/4/2020,114.57
6/5/2020,114.27
6/8/2020,114.36
6/9/2020,114.71
6/10/2020,115.22
6/11/2020,115.62
6/12/2020,115.38
6/15/2020,115.39
6/16/2020,115.07
6/17/2020,115.16
6/18/2020,115.41
6/19/2020,115.43
6/22/2020,115.43
6/23/2020,115.3
6/24/2020,115.56
6/25/2020,115.6
6/26/2020,115.89
6/29/2020,115.89
6/30/2020,115.76
7/1/2020,115.67
7/2/2020,115.74
7/6/2020,115.62
7/7/2020,115.96
7/8/2020,115.86
7/9/2020,116.24
7/10/2020,116.07
7/13/2020,116.18
7/14/2020,116.2
7/15/2020,116.11
7/16/2020,116.23
7/17/2020,116.18
7/20/2020,116.24
7/21/2020,116.29
7/22/2020,116.35
7/23/2020,116.59
7/24/2020,116.58
7/27/2020,116.46
7/28/2020,116.68
7/29/2020,116.7
7/30/2020,116.89
7/31/2020,116.89
8/3/2020,116.8
8/4/2020,117.07
8/5/2020,116.8
8/6/2020,116.93
8/7/2020,116.73
8/10/2020,116.63
8/11/2020,116.29
8/12/2020,116.03
8/13/2020,115.75
8/14/2020,115.71
8/17/2020,115.81
8/18/2020,116
8/19/2020,115.85
8/20/2020,116.08
8/21/2020,116.2
8/24/2020,116.12
8/25/2020,115.94
8/26/2020,115.86
8/27/2020,115.45
8/28/2020,115.51
8/31/2020,115.67
9/1/2020,115.97
9/2/2020,116.18
9/3/2020,116.27
9/4/2020,115.71
9/8/2020,115.92
9/9/2020,115.85
9/10/2020,115.98
9/11/2020,116.05
9/14/2020,116.04
9/15/2020,115.99
9/16/2020,115.92
9/17/2020,115.99
9/18/2020,115.89
9/21/2020,116.04
9/22/2020,116.03
9/23/2020,116.07
9/24/2020,116.14
9/25/2020,116.17
9/28/2020,116.12
9/29/2020,116.16
9/30/2020,115.91
10/1/2020,115.96
10/2/2020,115.85
10/5/2020,115.31
10/6/2020,115.47
10/7/2020,115.24
10/8/2020,115.41
10/9/2020,115.35
10/13/2020,115.68
10/14/2020,115.73
10/15/2020,115.68
10/16/2020,115.59
10/19/2020,115.49
10/20/2020,115.26
10/21/2020,115.16
10/22/2020,114.86
10/23/2020,115.01
10/26/2020,115.27
10/27/2020,115.45
10/28/2020,115.48
10/29/2020,115.19
10/30/2020,114.92
11/2/2020,115.09
11/3/2020,114.93
11/4/2020,115.56
11/5/2020,115.6
11/6/2020,115.26
11/9/2020,114.65
11/10/2020,114.47
11/12/2020,115.04
11/13/2020,114.97
11/16/2020,114.92
11/17/2020,115.12
11/18/2020,115.16
11/19/2020,115.29
