index,LEI_code,Country_code,Bank_name,Period,Item,Scenario,Amount
0,PQOH26KWDF7CG10L6792,AT,Erste Group Bank AG,201512,1690101,1,0
1,PQOH26KWDF7CG10L6792,AT,Erste Group Bank AG,201512,1690102,1,0
2,PQOH26KWDF7CG10L6792,AT,Erste Group Bank AG,201512,1690103,1,0
3,PQOH26KWDF7CG10L6792,AT,Erste Group Bank AG,201512,1690104,1,0
4,PQOH26KWDF7CG10L6792,AT,Erste Group Bank AG,201512,1690105,1,0.6210825003
5,PQOH26KWDF7CG10L6792,AT,Erste Group Bank AG,201512,1690106,1,12135.724765
6,PQOH26KWDF7CG10L6792,AT,Erste Group Bank AG,201512,1690107,1,98299.564649
7,PQOH26KWDF7CG10L6792,AT,Erste Group Bank AG,201512,1690108,1,0.1234565464
8,PQOH26KWDF7CG10L6792,AT,Erste Group Bank AG,201512,1690109,1,0.122483566
9,PQOH26KWDF7CG10L6792,AT,Erste Group Bank AG,201512,1690110,1,12135.724765
10,PQOH26KWDF7CG10L6792,AT,Erste Group Bank AG,201512,1690111,1,210081.00850999999
11,PQOH26KWDF7CG10L6792,AT,Erste Group Bank AG,201512,1690112,1,0.0577668817
12,PQOH26KWDF7CG10L6792,AT,Erste Group Bank AG,201512,1690113,1,0.058341816399999996
13,PQOH26KWDF7CG10L6792,AT,Erste Group Bank AG,201512,1690114,1,0
14,PQOH26KWDF7CG10L6792,AT,Erste Group Bank AG,201512,1690115,1,0
15,PQOH26KWDF7CG10L6792,AT,Erste Group Bank AG,201512,1690116,1,0
16,PQOH26KWDF7CG10L6792,AT,Erste Group Bank AG,201512,1690601,1,83445.346963
17,PQOH26KWDF7CG10L6792,AT,Erste Group Bank AG,201512,1690602,1,196.47285923
18,PQOH26KWDF7CG10L6792,AT,Erste Group Bank AG,201512,1690603,1,83248.874104
19,PQOH26KWDF7CG10L6792,AT,Erste Group Bank AG,201512,1690604,1,4098.9046321000005
20,PQOH26KWDF7CG10L6792,AT,Erste Group Bank AG,201512,1690605,1,10755.240842000001
21,PQOH26KWDF7CG10L6792,AT,Erste Group Bank AG,201512,1690606,1,0.07221163
22,PQOH26KWDF7CG10L6792,AT,Erste Group Bank AG,201512,1690607,1,98299.564649
23,PQOH26KWDF7CG10L6792,AT,Erste Group Bank AG,201512,1690701,1,4420.9623634
24,PQOH26KWDF7CG10L6792,AT,Erste Group Bank AG,201512,1690702,1,6782.6467646
25,PQOH26KWDF7CG10L6792,AT,Erste Group Bank AG,201512,1690703,1,-2361.684401
26,PQOH26KWDF7CG10L6792,AT,Erste Group Bank AG,201512,1690704,1,102.42537116
27,PQOH26KWDF7CG10L6792,AT,Erste Group Bank AG,201512,1690705,1,1816.2853492
28,PQOH26KWDF7CG10L6792,AT,Erste Group Bank AG,201512,1690706,1,83.05889157
29,PQOH26KWDF7CG10L6792,AT,Erste Group Bank AG,201512,1690707,1,31.9607923
30,PQOH26KWDF7CG10L6792,AT,Erste Group Bank AG,201512,1690708,1,57.24770809
31,PQOH26KWDF7CG10L6792,AT,Erste Group Bank AG,201512,1690709,1,6511.9404758
32,PQOH26KWDF7CG10L6792,AT,Erste Group Bank AG,201512,1690710,1,-721.9526537
33,PQOH26KWDF7CG10L6792,AT,Erste Group Bank AG,201512,1690711,1,-4198.089244
34,PQOH26KWDF7CG10L6792,AT,Erste Group Bank AG,201512,1690712,1,1591.8985777
35,PQOH26KWDF7CG10L6792,AT,Erste Group Bank AG,201512,1690713,1,-358.8208209
36,PQOH26KWDF7CG10L6792,AT,Erste Group Bank AG,201512,1690714,1,0
37,PQOH26KWDF7CG10L6792,AT,Erste Group Bank AG,201512,1690715,1,1233.0777569
38,PQOH26KWDF7CG10L6792,AT,Erste Group Bank AG,201512,1690716,1,933.30501707
39,PQOH26KWDF7CG10L6792,AT,Erste Group Bank AG,201512,1690717,1,214.9
40,PQOH26KWDF7CG10L6792,AT,Erste Group Bank AG,201512,1690718,1,718.40501707
41,PQOH26KWDF7CG10L6792,AT,Erste Group Bank AG,201512,1690801,1,17566.395703
42,PQOH26KWDF7CG10L6792,AT,Erste Group Bank AG,201512,1690802,1,12135.724765
43,PQOH26KWDF7CG10L6792,AT,Erste Group Bank AG,201512,1690803,1,2263.7361375
44,PQOH26KWDF7CG10L6792,AT,Erste Group Bank AG,201512,1690804,1,0
