LEI_code,Country_code,Bank_name,Exposure,Country,Amount_sum
0W2PZJM8XOY22M4GG883,DE,DekaBank Deutsche Girozentrale,total_assets,0,107981
2138005O9XJIJN4JPN90,GB,The Royal Bank of Scotland Group Public Limited Company,total_assets,0,1106479
213800X3Q9LSAKRUWY91,BE,KBC Group NV,total_assets,0,252356
2W8N8UU78PMDQKZENC08,IT,Intesa Sanpaolo S.p.A.,total_assets,0,676496
3M5E1GQGKL17HI6CPN30,DK,Jyske Bank,total_assets,0,72806
3U8WV1YX2VMUHH7Z1Q21,IE,Allied Irish Banks plc,total_assets,0,106829
52990002O5KK6XOGJ020,DE,NRW.BANK,total_assets,0,141175
529900GGYMNGRQTDOO93,NL,N.V. Bank Nederlandse Gemeenten,total_assets,0,149511
529900JP9C734S1LE008,AT,Raiffeisen-Landesbanken-Holding GmbH,total_assets,0,114427
529900USFSZYPS075O24,DE,Volkswagen Financial Services AG,total_assets,0,121251
529900W3MOO00A18X956,HU,OTP Bank Nyrt.,total_assets,0,33705
5493006P8PDBI8LC0O96,IT,Banco Popolare - Società Cooperativa,total_assets,0,120509.595
5493006QMFDDMYWIAM13,ES,Banco Santander S.A.,total_assets,0,1340262
549300GKFG0RYRRQ1414,NO,DNB Bank Group,total_assets,0,240670
549300NYKK9MWM7GGW15,NL,ING Groep N.V.,total_assets,0,841769
549300PPXHEU2JF0AM85,GB,Lloyds Banking Group Plc,total_assets,0,1094646
549300TJUHHEE8YXKI59,ES,BFA Tenedora de Acciones S.A.U.,total_assets,0,213698.822
549300TRUWO2CD2G5692,IT,UniCredit S.p.A.,total_assets,0,860433
6SCPQ280AIY8EP3XFW53,SE,Nordea Bank - group,total_assets,0,646868
724500DWE10NNL1AXZ52,NL,ABN AMRO Group N.V.,total_assets,0,390317
7437003B5WFBOIEFY714,FI,OP Osuuskunta,total_assets,0,125145
7LTWFZYICNSX8D621K86,DE,Deutsche Bank AG,total_assets,0,1629130
80H66LPTVDLM0P28XF25,ES,Banco Popular Español S.A.,total_assets,0,158650
81560097964CBDAED282,IT,Unione Di Banche Italiane Società Per Azioni,total_assets,0,117201
851WYGNLUQLFZBSYGB56,DE,Commerzbank AG,total_assets,0,532701
959800DQQUAMV0K08004,ES,"Criteria Caixa, S.A.U.",total_assets,0,355930.427
9695000CG7B84NLR5984,FR,Groupe Crédit Mutuel,total_assets,0,739809
9695005MSX1OYEMGDF46,FR,Groupe BPCE,total_assets,0,1166535
96950066U5XAAIRCPA78,FR,La Banque Postale,total_assets,0,218708
969500TJ5KRTCJQWXH05,FR,Groupe Crédit Agricole,total_assets,0,1529294
A5GWLFH3KM7YV2SFQL84,BE,Belfius Banque SA,total_assets,0,176962
B81CK4ESI35472RHJ606,DE,Landesbank Baden-Württemberg,total_assets,0,234015
DG3RU1DBUFHT4ZF9WN62,NL,Coöperatieve Centrale Raiffeisen-Boerenleenbank B.A.,total_assets,0,670373
DIZES5CFO5K3I5R58746,DE,Landesbank Hessen-Thüringen Girozentrale,total_assets,0,172256
DSNHHQ2B9X5N6OUJ1236,DE,Norddeutsche Landesbank Girozentrale,total_assets,0,180998
F3JS33DEI6XQ4ZBPTN86,SE,Skandinaviska Enskilda Banken - group,total_assets,0,272466
G5GSEF7VJP5I7OUK5573,GB,Barclays Plc,total_assets,0,1520786
J4CP7MHCXR8DAQMKIL78,IT,Banca Monte dei Paschi di Siena S.p.A.,total_assets,0,169012
K8MS7FD7N5Z2WQ51AZ71,ES,Banco Bilbao Vizcaya Argentaria S.A.,total_assets,0,749855
LIU16F6VZJSD6UKHD557,DK,Nykredit Realkredit,total_assets,0,185403
M312WZV08Y7LYUC71685,SE,Swedbank  group,total_assets,0,234575
MAES062Z21O4RZ2U7M96,DK,Danske Bank,total_assets,0,441188
MLU0ZO3ML4LN2LL2TL39,GB,HSBC Holdings,total_assets,0,2218570
NHBDILHZTYCNBV5UYZ31,SE,Svenska Handelsbanken - group,total_assets,0,275323
O2RNE8IBXP4R0TD8PU41,FR,Société Générale S.A.,total_assets,0,1334391
P4GTT6GF1W40CVIMFR43,PL,Powszechna Kasa Oszcz?dno?ci Bank Polski SA,total_assets,0,62265
PQOH26KWDF7CG10L6792,AT,Erste Group Bank AG,total_assets,0,199743
Q2GQA2KF6XJ24W42G291,IE,The Governor and Company of the Bank of Ireland,total_assets,0,130960
R0MUWSFPU8MPRO8K5P83,FR,BNP Paribas,total_assets,0,1994193
SI5RG2M0WQQLZCXKRM20,ES,Banco de Sabadell S.A.,total_assets,0,208628
VDYMYTQGZZ6DU0912C88,DE,Bayerische Landesbank,total_assets,0,215713
